P_NAME,P_STATUS,P_MASS,P_MASS_ERROR_MIN,P_MASS_ERROR_MAX,P_RADIUS,P_RADIUS_ERROR_MIN,P_RADIUS_ERROR_MAX,P_YEAR,P_UPDATED,P_PERIOD,P_PERIOD_ERROR_MIN,P_PERIOD_ERROR_MAX,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_ERROR_MIN,P_SEMI_MAJOR_AXIS_ERROR_MAX,P_ECCENTRICITY,P_ECCENTRICITY_ERROR_MIN,P_ECCENTRICITY_ERROR_MAX,P_INCLINATION,P_INCLINATION_ERROR_MIN,P_INCLINATION_ERROR_MAX,P_OMEGA,P_OMEGA_ERROR_MIN,P_OMEGA_ERROR_MAX,P_TPERI,P_TPERI_ERROR_MIN,P_TPERI_ERROR_MAX,P_ANGULAR_DISTANCE,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_ERROR_MIN,P_IMPACT_PARAMETER_ERROR_MAX,P_TEMP_MEASURED,P_GEO_ALBEDO,P_GEO_ALBEDO_ERROR_MIN,P_GEO_ALBEDO_ERROR_MAX,P_DETECTION,P_DETECTION_MASS,P_DETECTION_RADIUS,P_ALT_NAMES,P_ATMOSPHERE,S_NAME,S_RA,S_DEC,S_MAG,S_DISTANCE,S_DISTANCE_ERROR_MIN,S_DISTANCE_ERROR_MAX,S_METALLICITY,S_METALLICITY_ERROR_MIN,S_METALLICITY_ERROR_MAX,S_MASS,S_MASS_ERROR_MIN,S_MASS_ERROR_MAX,S_RADIUS,S_RADIUS_ERROR_MIN,S_RADIUS_ERROR_MAX,S_TYPE,S_AGE,S_AGE_ERROR_MIN,S_AGE_ERROR_MAX,S_TEMPERATURE,S_TEMPERATURE_ERROR_MIN,S_TEMPERATURE_ERROR_MAX,S_DISC,S_MAGNETIC_FIELD,S_LOG_G,S_ALT_NAMES,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_FLUX_MIN,P_FLUX_MAX,P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,P_TYPE,S_RADIUS_EST,S_TYPE_TEMP,S_RA_H,S_RA_T,S_DEC_T,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_HZ_CON0_MIN,S_HZ_CON0_MAX,S_HZ_CON1_MIN,S_HZ_CON1_MAX,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,P_ESI,S_CONSTELLATION,S_CONSTELLATION_ABR,S_CONSTELLATION_ENG,P_RADIUS_EST,P_MASS_EST,P_SEMI_MAJOR_AXIS_EST
1RXS J160929.1-210524 b,3,2542.624,-317.828,317.828,,,,2008,01-04-2015,,,,330,,,,,,,,,,,,,,,2280,,,,,,,,Imaging,,,,,1RXS J160929.1-210524,242.37627,-21.083036,,145,-14,14,,,,0.85,-0.1,0.2,,,,K7 V,0.005,,,4060,-200,300,,,,",",,,,,47.561283,330,330,330,330.00001,,,,,,,Jovian,,K,16.158419,16 09 30.3074,-21 04 58.9296,,,,,,,,,,,0.10042903,0.14012839,0,0,,0,,Scorpius,Sco,Scorpion,12.56295,2542.624,330
2MASS J01225093-2439505 b,3,7786.7861,-794.57001,794.57001,,,,2013,14-05-2014,,,,52,-6,6,,,,,,,,,,,,,1440,,,,,,,,Imaging,,,,,2MASS J01225093-2439505,20.712243,-24.664049,14.24,36,-4,4,,,,0.4,-0.05,0.05,,,,M3.5 V,0.12,-0.01,0.01,3530,-50,50,,,,",",,,,,13.992264,52,52,52,52.000001,,,,,,,Jovian,,M,1.3808163,01 22 50.9386,-24 39 50.5764,,,,,,,,,,,0.031426578,0.18511504,0,0,,0,,Cetus,Cet,Whale,11.959259,7786.7861,52
2MASS J02192210-3925225 b,3,4417.8092,-349.6108,349.6108,16.1424,-0.3363,0.3363,2015,14-05-2015,,,,156,-10,10,,,,,,,,,,,,,3960,,,,,,,,Imaging,,,,,2MASS J02192210-3925225,34.842106,-39.422928,,39.4,-2.6,2.6,,,,0.11,-0.01,0.01,0.28,-0.01,0.01,M6,0.035,-0.005,0.005,3064,-76,76,,,4.59,",",16.543196,273.67735,16.953944,1.0502741,53.43772,156,156,156,156,2.54E-07,2.54E-07,2.54E-07,5.7216666,5.7216666,5.7216666,Jovian,0.28,M,2.3228072,02 19 22.1059,-39 25 22.5408,0.006190985,0.064653815,0.17132776,0.081892193,0.16242892,0.086858303,0.16242892,0.079039709,0.16242892,0.2124436,0.009177344,0.098031817,0,0,Cold,0,0.056530021,Fornax,For,Furnace,16.1424,4417.8092,156
2MASS J04414489+2301513 b,3,2383.71,-794.57001,794.57001,,,,2010,14-05-2014,,,,15,,,,,,,,,,,,,,,107,,,,,,,,Imaging,,,,,2MASS J04414489+2301513,70.437073,23.030941,,140,,,,,,0.02,,,,,,M8.5,0.001,,,,,,,,,",",,,,,7.3838744,15,15,15,15,,,,,,,Jovian,,M,4.6958051,04 41 44.8984,+23 01 51.3876,,,,,,,,,,,,0.030706817,0,0,,0,,Taurus,Tau,Bull,12.598676,2383.71,15
2MASS J12073346-3932539 b,3,1271.312,-317.828,317.828,,,,2004,14-05-2014,,,,46,-5,5,,,,,,,,,,,,,714,,,,,,,,Imaging,,,,,2MASS J12073346-3932539,181.88945,-39.548332,20.15,64.42,-0.65,0.65,,,,0.02,,,,,,M8,0.008,-0.003,0.004,,,,,,,",",,,,,18.363288,46,46,46,46.000001,,,,,,,Jovian,,M,12.125964,12 07 33.4696,-39 32 53.9952,,,,,,,,,,,,0.043425998,0,0,,0,,Centaurus,Cen,Centaur,12.952003,1271.312,46
2MASS J21402931+1625183 A b,3,6658.4967,-6658.4967,26630.808,10.3132,-4.0356,4.3719,2009,14-05-2014,7336.5,-584,1934.5,,,,0.26,-0.06,0.06,46.2,-8.7,2.5,223,-47,10,,,,,,,,,,,,Imaging,,,,,2MASS J21402931+1625183 A,325.12216,16.421759,,25,-10,10,,,,0.08,-0.06,0.06,0.12,-0.04,0.05,M8.5,,,,2300,-80,80,,,,",",25.409222,645.62858,62.602158,6.0701002,1.0287533,3.2908045,2.3555768,4.010847,3.2107268,3.69E-05,2.24E-05,6.51E-05,19.598998,17.535473,22.881627,Jovian,0.12,M,21.674812,21 40 29.3222,+16 25 18.3324,0.000361046,0.015701147,0.04246522,0.019887033,0.040258767,0.021100899,0.040258767,0.019192148,0.040258767,0.051303266,0.002221171,0.19878386,0,0,Cold,0,0.084157251,Pegasus,Peg,Winged Horse,10.3132,6658.4967,3.1832119
2MASS J22362452+4751425 b,3,3972.85,-476.742,476.742,,,,2016,10-11-2016,,,,230,-20,20,,,,,,,,,,,,,3110,,,,,,,,Imaging,,,,,2MASS J22362452+4751425,339.1022,47.86182,12.51,74,-10,10,,,,0.6,-0.05,0.05,,,,K7 V,0.12,-0.01,0.01,4045,-35,35,,,,",",,,,,43.201288,230,230,230,230.00001,,,,,,,Jovian,,K,22.606815,22 36 24.5330,+47 51 42.5520,,,,,,,,,,,0.087145494,0.21190382,0,0,,0,,Lacerta,Lac,Lizard,12.318663,3972.85,230
51 Eri b,3,,,,,,,2015,11-07-2019,11688,-3287.25,6209.25,12,-2,4,0.45,-0.15,0.1,133,-7,14,87,-30,34,2455563,-1826,5844,408,,,,,,,,Imaging,,,,,51 Eri,69.400551,-2.473548,5.23,29.4,-0.3,0.3,-0.027,-0.045,0.045,1.75,-0.05,0.05,,,,F0 IV,0.02,-0.006,0.006,,,,,,,"HD 29391, HIP 21547",,,,,,13.215,6.6,17.4,12.326111,,,,,,,,,F,4.6267036,04 37 36.1331,-02 28 24.7728,,,,,,,,,,,,0.2245997,0,0,,0,,Eridanus,Eri,River,0,0,12
AB Pic b,3,4290.678,-158.914,158.914,,,,2005,14-05-2014,,,,260,,,,,,,,,,,,,,,5190,,,,,,,,Imaging,,,,,AB Pic,94.803802,-58.05431,9.128,50.12,-0.07,0.07,,,,,,,,,,K2 V,0.03,,,,,,,,,"HD 44627, HIP 30034",,,,,,260,260,260,260.00001,,,,,,,Jovian,,K,6.3202538,06 19 12.9137,-58 03 15.5160,,,,,,,,,,,,,0,0,,0,,Pictor,Pic,Painter's Easel,12.277019,4290.678,260
CFBDSIR J145829+101343 b,3,3337.194,-1430.226,1430.226,,,,2011,14-05-2014,10037.5,-2737.5,2737.5,2.6,-0.3,0.3,,,,,,,,,,,,,113,,,,,,,,Imaging,,,,,CFBDSIR J145829+101343,224.62083,10.228611,,23.1,-2.4,2.4,,,,0.02,-0.01,0.01,,,,,,,,580.5,-24.5,24.5,,,4.72,",",,,,,1.4317782,2.6,2.6,2.6,2.6000001,1.57E-07,1.57E-07,1.57E-07,5.0703749,5.0703749,5.0703749,Jovian,0.10209745,,14.974723,14 58 29.0027,+10 13 42.9996,1.06E-06,0.000850969,0.002301526,0.001077835,0.00218194,0.001143624,0.00218194,0.001040174,0.00218194,0.002780529,7.29E-05,0.12522598,0,0,Cold,0,0.071553799,Bootes,Boo,Herdsman,12.413529,3337.194,2.6
