P_NAME,P_STATUS,P_MASS,P_MASS_ERROR_MIN,P_MASS_ERROR_MAX,P_RADIUS,P_RADIUS_ERROR_MIN,P_RADIUS_ERROR_MAX,P_YEAR,P_UPDATED,P_PERIOD,P_PERIOD_ERROR_MIN,P_PERIOD_ERROR_MAX,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_ERROR_MIN,P_SEMI_MAJOR_AXIS_ERROR_MAX,P_ECCENTRICITY,P_ECCENTRICITY_ERROR_MIN,P_ECCENTRICITY_ERROR_MAX,P_INCLINATION,P_INCLINATION_ERROR_MIN,P_INCLINATION_ERROR_MAX,P_OMEGA,P_OMEGA_ERROR_MIN,P_OMEGA_ERROR_MAX,P_TPERI,P_TPERI_ERROR_MIN,P_TPERI_ERROR_MAX,P_ANGULAR_DISTANCE,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_ERROR_MIN,P_IMPACT_PARAMETER_ERROR_MAX,P_TEMP_MEASURED,P_GEO_ALBEDO,P_GEO_ALBEDO_ERROR_MIN,P_GEO_ALBEDO_ERROR_MAX,P_DETECTION,P_DETECTION_MASS,P_DETECTION_RADIUS,P_ALT_NAMES,P_ATMOSPHERE,S_NAME,S_RA,S_DEC,S_MAG,S_DISTANCE,S_DISTANCE_ERROR_MIN,S_DISTANCE_ERROR_MAX,S_METALLICITY,S_METALLICITY_ERROR_MIN,S_METALLICITY_ERROR_MAX,S_MASS,S_MASS_ERROR_MIN,S_MASS_ERROR_MAX,S_RADIUS,S_RADIUS_ERROR_MIN,S_RADIUS_ERROR_MAX,S_TYPE,S_AGE,S_AGE_ERROR_MIN,S_AGE_ERROR_MAX,S_TEMPERATURE,S_TEMPERATURE_ERROR_MIN,S_TEMPERATURE_ERROR_MAX,S_DISC,S_MAGNETIC_FIELD,S_LOG_G,S_ALT_NAMES,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_FLUX_MIN,P_FLUX_MAX,P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,P_TYPE,S_RADIUS_EST,S_TYPE_TEMP,S_RA_H,S_RA_T,S_DEC_T,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_HZ_CON0_MIN,S_HZ_CON0_MAX,S_HZ_CON1_MIN,S_HZ_CON1_MAX,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,P_ESI,S_CONSTELLATION,S_CONSTELLATION_ABR,S_CONSTELLATION_ENG,P_RADIUS_EST,P_MASS_EST,P_SEMI_MAJOR_AXIS_EST
KMT-2016-BLG-1107L b,3,1043.4293,-583.21439,1102.2275,,,,2019,21-02-2019,,,,0.342,-0.085,0.07,,,,,,,,,,,,,0.0514,,,,,,,,Microlensing,,,,,KMT-2016-BLG-1107L,266.41775,-26.0318,,6651,-1348,948,,,,0.09,-0.05,0.09,,,,,,,,,,,,,,",",,,,,0.077425646,0.342,0.342,0.342,0.34200001,,,,,,,Jovian,,,17.761184,17 45 40.2633,-26 01 54.4800,,,,,,,,,,,,0.20674354,0,0,,0,,Sagittarius,Sgr,Archer,13.065068,1043.4293,0.342
KMT-2016-BLG-1397L b,3,2224.796,-1366.6604,1652.7056,,,,2018,08-11-2018,,,,5.1,-1.7,1.5,,,,,,,,,,,,,0.773,,,,,,,,Microlensing,,,,,KMT-2016-BLG-1397L,272.66461,-24.857738,,6600,-1300,1100,,,,0.45,-0.28,0.33,,,,,,,,,,,,,,",",,,,,0.86905639,5.1,5.1,5.1,5.1000001,,,,,,,Jovian,,,18.177642,18 10 39.5103,-24 51 27.8568,,,,,,,,,,,,0.35352649,0,0,,0,,Sagittarius,Sgr,Archer,12.636979,2224.796,5.1
KMT-2016-BLG-1820L b,3,1452.474,-680.15193,1598.6749,,,,2018,08-11-2018,,,,1.08,-0.24,0.22,,,,,,,,,,,,,0.172,,,,,,,,Microlensing,,,,,KMT-2016-BLG-1820L,268.76474,-29.51692,,6260,-1280,1140,,,,0.04,-0.02,0.04,,,,,,,,,,,,,,",",,,,,0.35773253,1.08,1.08,1.08,1.08,,,,,,,Jovian,,,17.91765,17 55 03.5410,-29 31 00.9120,,,,,,,,,,,,0.15777485,0,0,,0,,Sagittarius,Sgr,Archer,12.876306,1452.474,1.08
KMT-2016-BLG-2142L b,3,4923.1558,-2726.9643,7942.5218,,,,2018,08-11-2018,,,,0.83,-0.2,0.15,,,,,,,,,,,,,0.118,,,,,,,,Microlensing,,,,,KMT-2016-BLG-2142L,268.112,-29.384562,,7010,-1160,1010,,,,0.07,-0.04,0.12,,,,,,,,,,,,,,",",,,,,0.34269821,0.83,0.83,0.83,0.83000002,,,,,,,Jovian,,,17.874134,17 52 26.8834,-29 23 04.4232,,,,,,,,,,,,0.19012992,0,0,,0,,Sagittarius,Sgr,Archer,12.202964,4923.1558,0.83
KMT-2017-BLG-0165L b,3,34.00124,-12.001185,15.001482,,,,2018,25-07-2019,,,,3.45,-0.95,0.98,,,,,,,,,,,,,0.762,,,,,,,,Microlensing,,,,,KMT-2017-BLG-0165L,269.64967,-28.133669,,4530,-980,1040,,,,0.76,-0.27,0.34,,,,,,,,,,,,,,",",,,,,0.12250806,3.45,3.45,3.45,3.4500001,,,,,,,Neptunian,,,17.976645,17 58 35.9235,-28 08 01.2084,,,,,,,,,,,,0.42100668,0,0,,0,,Sagittarius,Sgr,Archer,6.4494934,34.00124,3.45
KMT-2017-BLG-1038L b,3,635.65601,-349.6108,635.65601,,,,2019,14-03-2019,,,,1.8,-0.5,0.6,,,,,,,,,,,,,0.3,,,,,,,,Microlensing,,,,,KMT-2017-BLG-1038L,266.17092,-25.143031,,6000,-1700,1300,,,,0.37,-0.2,0.36,,,,,,,,,,,,,,",",,,,,0.21564093,1.8,1.8,1.8,1.8,,,,,,,Jovian,,,17.744729,17 44 41.0234,-25 08 34.9116,,,,,,,,,,,,0.33119596,0,0,,0,,Sagittarius,Sgr,Archer,13.353106,635.65601,1.8
KMT-2017-BLG-1146L b,3,225.65788,-133.48776,254.2624,,,,2019,14-03-2019,,,,1.6,-0.6,0.6,,,,,,,,,,,,,0.246,,,,,,,,Microlensing,,,,,KMT-2017-BLG-1146L,269.10583,-33.142469,,6500,-2000,1400,,,,0.33,-0.2,0.36,,,,,,,,,,,,,,",",,,,,0.14099944,1.6,1.6,1.6,1.6,,,,,,,Jovian,,,17.94039,17 56 25.4033,-33 08 32.8884,,,,,,,,,,,,0.31880303,0,0,,0,,Scorpius,Sco,Scorpion,13.975657,225.65788,1.6
MOA-2007-BLG-192L b,3,3.17828,-1.58914,4.76742,,,,2008,29-10-2014,,,,0.62,-0.16,0.22,,,,,,,,,,,,,0.62,,,,,,,,Microlensing,,,,,MOA-2007-BLG-192L,272.01583,-27.150075,,1000,-400,400,,,,0.06,-0.02,0.03,,,,,,,,,,,,,,",",,,,,0.023291128,0.62,0.62,0.62,0.62000002,,,,,,,Terran,,,18.134389,18 08 03.8014,-27 09 00.2700,,,,,,,,,,,,0.18060712,0,0,,0,,Sagittarius,Sgr,Archer,1.5968584,3.17828,0.62
MOA-2007-BLG-400L b,3,263.79724,-98.526681,155.73572,,,,2008,29-10-2014,,,,0.72,-0.16,0.38,,,,,,,,,,,,,0.124,,,,,,,,Microlensing,,,,,MOA-2007-BLG-400L,272.42492,-29.224153,,5800,-800,600,,,,0.3,-0.12,0.19,,,,,,,,,,,,,,",",,,,,0.068997609,0.72,0.72,0.72,0.72000002,,,,,,,Jovian,,,18.161662,18 09 41.9835,-29 13 26.9508,,,,,,,,,,,,0.30883383,0,0,,0,,Sagittarius,Sgr,Archer,13.879958,263.79724,0.72
MOA-2008-BLG-310L b,3,23.398498,-17.00062,17.00062,,,,2009,03-08-2017,,,,1.61,-0.98,0.98,,,,,,,,,,,,,0.209,,,,,,,,Microlensing,,,,,MOA-2008-BLG-310L,268.56054,-34.778053,,7700,-1100,1100,,,,0.21,-0.14,0.14,,,,,,,,,,,,,,",",,,,,0.077493862,1.61,1.61,1.61,1.61,,,,,,,Neptunian,,,17.904037,17 54 14.5334,-34 46 40.9908,,,,,,,,,,,,0.2742148,0,0,,0,,Scorpius,Sco,Scorpion,5.1751976,23.398498,1.61
MOA-2008-BLG-379L b,3,1303.0948,-603.87321,540.3076,,,,2013,29-10-2014,,,,3.3,-1.2,1.7,,,,,,,,,,,,,1,,,,,,,,Microlensing,,,,,MOA-2008-BLG-379L,269.706,-30.196931,,3300,-1200,1300,,,,0.56,-0.27,0.24,,,,K,,,,,,,,,,",",,,,,0.43741649,3.3,3.3,3.3,3.3000001,,,,,,,Jovian,,K,17.980401,17 58 49.4434,-30 11 48.9516,,,,,,,,,,,,0.38025984,0,0,,0,,Sagittarius,Sgr,Archer,12.93794,1303.0948,3.3
MOA-2009-BLG-266L b,3,10.488324,-1.58914,1.58914,,,,2011,29-10-2014,2774,-547.5,2810.5,3.2,-0.5,1.9,,,,,,,,,,,,,1.05,,,,,,,,Microlensing,,,,,MOA-2009-BLG-266L,267.00813,-35.005411,,3040,-330,330,,,,0.56,-0.09,0.09,,,,,,,,,,,,,,",",,,,,0.085004359,3.2,3.2,3.2,3.2000001,,,,,,,Neptunian,,,17.800543,17 48 01.9533,-35 00 19.4796,,,,,,,,,,,,0.38025984,0,0,,0,,Scorpius,Sco,Scorpion,3.2260501,10.488324,3.2
MOA-2009-BLG-319L b,3,50.85248,-25.42624,44.49592,,,,2010,29-10-2014,,,,2.4,-0.6,1.2,,,,,,,,,,,,,0.393,,,,,,,,Microlensing,,,,,MOA-2009-BLG-319L,271.74221,-26.819692,,6100,-1200,1100,,,,0.38,-0.18,0.34,,,,,,,,,,,,,,",",,,,,0.12279272,2.4,2.4,2.4,2.4000001,,,,,,,Jovian,,,18.116148,18 06 58.1333,-26 49 10.8912,,,,,,,,,,,,0.33415322,0,0,,0,,Sagittarius,Sgr,Archer,8.1750994,50.85248,2.4
MOA-2009-BLG-387L b,3,813.63969,-502.16824,1318.9862,,,,2010,04-06-2015,1982,-588,785,1.82,-0.73,0.84,,,,52,-12,20,,,,,,,0.32,,,,,,,,Microlensing,,,,,MOA-2009-BLG-387L,268.46163,-33.990333,,5690,-2190,2180,,,,0.19,-0.12,0.3,,,,,,,,,,,,,,",",,,,,0.29563064,1.82,1.82,1.82,1.82,,,,,,,Jovian,,,17.897443,17 53 50.7934,-33 59 25.1988,,,,,,,,,,,,0.26521759,0,0,,0,,Scorpius,Sco,Scorpion,13.208851,813.63969,1.82
MOA-2010-BLG-073L b,3,3496.108,-635.65601,635.65601,,,,2012,14-05-2014,,,,1.21,-0.16,0.16,,,,,,,,,,,,,0.432,,,,,,,,Microlensing,,,,,MOA-2010-BLG-073L,272.54726,-26.522932,,2800,-400,400,,,,0.16,-0.03,0.03,,,,,,,,,,,,,,",",,,,,0.33837028,1.21,1.21,1.21,1.21,,,,,,,Jovian,,,18.169818,18 10 11.3453,-26 31 22.5552,,,,,,,,,,,,0.25045197,0,0,,0,,Sagittarius,Sgr,Archer,12.388146,3496.108,1.21
MOA-2010-BLG-117L b,3,171.62712,-31.7828,31.7828,,,,2018,05-04-2018,,,,2.9,-0.6,1.6,,,,,,,,,,,,,0.829,,,,,,,,Microlensing,,,,,MOA-2010-BLG-117L,271.95697,-25.344639,,3500,-400,400,,,,0.58,-0.11,0.11,,,,,,,,,,,,,,",",,,,,0.19330178,2.9,2.9,2.9,2.9000001,,,,,,,Jovian,,,18.130466,18 07 49.6762,-25 20 40.7004,,,,,,,,,,,,0.3847339,0,0,,0,,Sagittarius,Sgr,Archer,14.144978,171.62712,2.9
MOA-2010-BLG-328L b,3,9.2011207,-2.1993698,2.1993698,,,,2013,04-06-2015,,,,0.92,-0.16,0.16,,,,,,,,,,,,,1.14,,,,,,,,Microlensing,,,,,MOA-2010-BLG-328L,269.49633,-30.715175,,810,-100,100,,,,0.11,-0.01,0.01,,,,,,,,,,,,,,",",,,,,0.040245968,0.92,0.92,0.92,0.92000002,,,,,,,Superterran,,,17.966423,17 57 59.1233,-30 42 54.6300,,,,,,,,,,,,0.22104567,0,0,,0,,Scorpius,Sco,Scorpion,2.9866023,9.2011207,0.92
MOA-2010-BLG-353L b,3,85.813561,-50.85248,152.55744,,,,2015,09-06-2016,,,,1.72,-0.48,0.56,,,,,,,,,,,,,0.268,,,,,,,,Microlensing,,,,,MOA-2010-BLG-353L,271.30392,-27.293233,,6430,-1150,1090,,,,0.18,-0.11,0.32,,,,,,,,,,,,,,",",,,,,0.13440274,1.72,1.72,1.72,1.72,,,,,,,Jovian,,,18.086929,18 05 12.9435,-27 17 35.6388,,,,,,,,,,,,0.26048054,0,0,,0,,Sagittarius,Sgr,Archer,11.126015,85.813561,1.72
MOA-2010-BLG-477L b,3,476.742,-95.348401,254.2624,,,,2012,29-10-2014,,,,2,-1,3,,,,,,,,,,,,,0.87,,,,,,,,Microlensing,,,,,MOA-2010-BLG-477L,271.53101,-31.454477,,2300,-600,600,,,,0.67,,0.33,,,,,,,,5950,,150,,,,",",,,,,0.17860135,2,2,2,2.0000001,,,,,,,Jovian,,G,18.102068,18 06 07.4448,-31 27 16.1172,,,,,,,,,,,2.3854712,0.40368511,0,0,,0,,Sagittarius,Sgr,Archer,13.523204,476.742,2
