P_NAME,P_STATUS,P_MASS,P_MASS_ERROR_MIN,P_MASS_ERROR_MAX,P_RADIUS,P_RADIUS_ERROR_MIN,P_RADIUS_ERROR_MAX,P_YEAR,P_UPDATED,P_PERIOD,P_PERIOD_ERROR_MIN,P_PERIOD_ERROR_MAX,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_ERROR_MIN,P_SEMI_MAJOR_AXIS_ERROR_MAX,P_ECCENTRICITY,P_ECCENTRICITY_ERROR_MIN,P_ECCENTRICITY_ERROR_MAX,P_INCLINATION,P_INCLINATION_ERROR_MIN,P_INCLINATION_ERROR_MAX,P_OMEGA,P_OMEGA_ERROR_MIN,P_OMEGA_ERROR_MAX,P_TPERI,P_TPERI_ERROR_MIN,P_TPERI_ERROR_MAX,P_ANGULAR_DISTANCE,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_ERROR_MIN,P_IMPACT_PARAMETER_ERROR_MAX,P_TEMP_MEASURED,P_GEO_ALBEDO,P_GEO_ALBEDO_ERROR_MIN,P_GEO_ALBEDO_ERROR_MAX,P_DETECTION,P_DETECTION_MASS,P_DETECTION_RADIUS,P_ALT_NAMES,P_ATMOSPHERE,S_NAME,S_RA,S_DEC,S_MAG,S_DISTANCE,S_DISTANCE_ERROR_MIN,S_DISTANCE_ERROR_MAX,S_METALLICITY,S_METALLICITY_ERROR_MIN,S_METALLICITY_ERROR_MAX,S_MASS,S_MASS_ERROR_MIN,S_MASS_ERROR_MAX,S_RADIUS,S_RADIUS_ERROR_MIN,S_RADIUS_ERROR_MAX,S_TYPE,S_AGE,S_AGE_ERROR_MIN,S_AGE_ERROR_MAX,S_TEMPERATURE,S_TEMPERATURE_ERROR_MIN,S_TEMPERATURE_ERROR_MAX,S_DISC,S_MAGNETIC_FIELD,S_LOG_G,S_ALT_NAMES,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_FLUX_MIN,P_FLUX_MAX,P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,P_TYPE,S_RADIUS_EST,S_TYPE_TEMP,S_RA_H,S_RA_T,S_DEC_T,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_HZ_CON0_MIN,S_HZ_CON0_MAX,S_HZ_CON1_MIN,S_HZ_CON1_MAX,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,P_ESI,S_CONSTELLATION,S_CONSTELLATION_ABR,S_CONSTELLATION_ENG,P_RADIUS_EST,P_MASS_EST,P_SEMI_MAJOR_AXIS_EST
11 Com b,3,6165.8633,-476.742,476.742,,,,2007,14-05-2014,326.03,-0.32,0.32,1.29,-0.05,0.05,0.231,-0.005,0.005,,,,94.8,-1.5,1.5,2452899.6,-1.6,1.6,13.8,,,,,,,,Radial Velocity,,,,,11 Com,185.17928,17.792868,4.74,93.37,-1.92,1.92,-0.35,-0.09,0.09,2.7,-0.3,0.3,19,-2,2,K0 III,,,,4742,-100,100,,,2.31,"HD 107383, HIP 60202",,,,,0.13067063,1.3244178,0.99201,1.58799,1.2987592,101.01141,64.855456,166.19194,799.44963,722.98875,914.73942,Jovian,19,K,12.345286,12 20 43.0286,+17 47 34.3248,163.5468,10.132812,24.763411,12.834754,23.477907,13.586847,23.477907,12.390643,23.477907,34.529063,0.47646024,0.64240028,0,0,Hot,0,0.083813263,Coma Berenices,Com,Berenice's Hair,12.082709,6165.8633,1.29
11 UMi b,3,4684.7848,-794.57001,794.57001,,,,2009,06-09-2018,516.21997,-3.2,3.2,1.53,-0.07,0.07,0.08,-0.03,0.03,,,,,,,,,,12.2,,,,,,,,Radial Velocity,,,,,11 UMi,229.27454,71.823898,5.016,125.72,-1.97,1.97,-0.02,,,2.78,-0.69,0.69,29.79,-2.84,2.84,K4 III,,,,4213,-46,46,,,1.93,"HD 136726, HIP 74793",,,,,0.16755064,1.534896,1.4076,1.6524,1.5312267,107.35118,91.741348,126.42617,819.07569,788.47184,854.2877,Jovian,29.79,K,15.28497,15 17 05.8915,+71 49 26.0328,250.49294,12.770059,31.984271,16.17528,30.323783,17.134143,30.323783,15.615215,30.323783,42.732816,0.19389083,0.64868332,0,0,Hot,0,0.082414476,Ursa Minor,UMi,Little Bear,12.229641,4684.7848,1.53
14 And b,3,1525.5744,,,,,,2008,14-05-2014,185.84,-0.23,0.23,0.83,,,0,,,,,,0,,,2452861.4,-1.5,1.5,11,,,,,,,,Radial Velocity,,,,,14 And,352.82257,39.236198,5.227,75.59,-0.71,0.71,-0.24,-0.03,0.03,2.2,-0.2,0.1,11,-1,1,G8 III,,,,4813,-20,20,,,2.63,"HD 221345, HIP 116076",,,,,0.073485255,0.83,0.83,0.83,0.83000002,84.446427,84.446427,84.446427,772.30746,772.30746,772.30746,Jovian,11,G,23.521506,23 31 17.4215,+39 14 10.3128,58.175144,6.0252302,14.680087,7.6318669,13.918028,8.078404,13.918028,7.3677796,13.918028,20.593611,0.50275224,0.60001028,0,0,Hot,0,0.081917127,Andromeda,And,Andromeda,12.848516,1525.5744,0.83
14 Her b,3,1481.0785,-47.6742,47.6742,,,,2002,06-09-2018,1773.4,-2.5,2.5,2.93,-0.08,0.08,0.37,0,0,,,,,,,,,,163,,,,,,,,Radial Velocity,,,,,14 Her,242.6013,43.817646,6.61,17.94,-0.01,0.01,0.41,,,0.9,-0.04,0.04,0.93,-0.01,0.01,K0 V,,,,5338,-25,25,,,4.45,"HD 145675, HIP 79248",,,,,0.217991,3.1305585,1.8459,4.0141,2.9825498,0.078886561,0.039047429,0.18465135,131.38424,113.25125,167.00637,Jovian,0.93,K,16.173421,16 10 24.3158,+43 49 03.5256,0.62917118,0.61059549,1.4579131,0.77340372,1.3822336,0.81817864,1.3822336,0.74661526,1.3822336,2.1416484,0.91975583,0.44541547,0,0,Cold,0,0.14524062,Hercules,Her,Hercules,12.865261,1481.0785,2.93
16 Cyg B b,3,565.73385,-25.42624,25.42624,,,,1996,06-09-2018,798.5,-1,1,1.66,-0.03,0.03,0.68,-0.02,0.02,,,,,,,,,,78.5,,,,,,,,Radial Velocity,,,,,16 Cyg B,295.46655,50.517525,6.25,21.15,-0.01,0.01,0.06,,,1.08,-0.04,0.04,1.13,-0.01,0.01,G2.5 V,,,,5750,-8,8,,,4.36,"HD 186427, HIP 96901",,,,,0.042832433,2.043792,0.5312,2.7888,1.7748696,0.61897215,0.16079857,4.4320105,202.22783,161.33012,369.65374,Jovian,1.13,G,19.697771,19 41 51.9764,+50 31 03.0900,1.2505956,0.8406574,1.9820503,1.0647976,1.8791638,1.1259913,1.8791638,1.0278615,1.8791638,3.019411,1.9836585,0.47332457,1,1,Warm,0,0.36862709,Cygnus,Cyg,Swan,13.421749,565.73385,1.66
18 Del b,3,3273.6284,,,,,,2008,14-05-2014,993.3,-3.2,3.2,2.6,,,0.08,-0.01,0.01,,,,166.1,-6.5,6.5,2451672,-18,18,34,,,,,,,,Radial Velocity,,,,,18 Del,314.60806,10.839286,5.506,76.38,-0.62,0.62,-0.052,-0.023,0.023,2.3,,,8.5,,,G6 III,,,,4979,-18,18,,,2.82,"HD 199665, HIP 103527",,,,,0.26914123,2.60832,2.392,2.808,2.6020847,5.9039479,5.0454603,6.9530068,396.65045,381.83005,413.70243,Jovian,8.5,G,20.973872,20 58 25.9391,+10 50 21.4296,39.782769,4.9452691,11.966497,6.2639156,11.345312,6.6291433,11.345312,6.0471267,11.345312,17.029868,0.67864811,0.60896698,0,0,Hot,0,0.21617437,Delphinus,Del,Dolphin,12.424038,3273.6284,2.6
24 Boo b,3,289.22348,-31.7828,41.31764,,,,2018,26-04-2018,30.3506,-0.0077,0.0078,0.19,-0.009,0.012,0.042,-0.029,0.048,,,,210,-130,100,2450008.6,-7.9,10.1,1.97,,,,,,,,Radial Velocity,,,,,24 Boo,217.15755,49.844852,5.58,96.25,-0.64,0.64,-0.77,-0.03,0.03,0.99,-0.13,0.19,10.64,-0.59,0.84,G3 IV,6.92,-2.75,4.83,4893,-15,15,,,2.42,"HD 127243, HIP 70791",,,,,0.012081025,0.19016758,0.18202,0.19798,0.19004195,1611.9403,1483.3039,1754.828,1613.7579,1581.0749,1648.935,Jovian,10.64,G,14.477171,14 28 37.8140,+49 50 41.4672,58.139697,6.0021326,14.574833,7.6026009,13.818243,8.0466759,13.818243,7.3395091,13.818243,20.587336,0.4420258,0.49217655,0,0,Hot,0,0.065684936,Bootes,Boo,Herdsman,13.823874,289.22348,0.19
24 Sex b,3,632.47773,-120.77464,82.635281,,,,2010,14-05-2014,452.8,-4.5,2.1,1.333,-0.009,0.004,0.09,-0.06,0.14,,,,9.2,-165.4,277.9,2454762,-172.3,67.3,18.5,,,,,,,,Radial Velocity,,,,,24 Sex,155.86821,-0.902244,6.441,72.21,-0.68,0.68,-0.03,-0.04,0.04,1.54,-0.08,0.08,4.9,-0.08,0.08,K0 IV,2.7,-0.4,0.4,5098,-44,44,,,3.5,"HD 90043, HIP 50887",,,,,0.090191357,1.3383987,1.21303,1.45297,1.3343533,8.2108078,6.8828267,9.8749987,430.60546,412.65453,451.62624,Jovian,4.9,K,10.391215,10 23 28.3724,+00 54 08.0784,14.530486,2.9714593,7.1568809,3.7637846,6.7853671,3.9827067,6.7853671,3.6334963,6.7853671,10.292096,0.72838944,0.48748251,0,0,Hot,0,0.17730446,Sextans,Sex,Sextant,13.35605,632.47773,1.333
24 Sex c,3,273.33208,-69.922161,111.2398,,,,2010,14-05-2014,883,-13.8,32.4,2.08,-0.02,0.05,0.29,-0.09,0.16,,,,220.5,-320.9,182.2,2454930,-96.5,209.9,28.8,,,,,,,,Radial Velocity,,,,,24 Sex,155.86821,-0.902244,6.441,72.21,-0.68,0.68,-0.03,-0.04,0.04,1.54,-0.08,0.08,4.9,-0.08,0.08,K0 IV,2.7,-0.4,0.4,5098,-44,44,,,3.5,"HD 90043, HIP 50887",,,,,0.083016328,2.167464,1.4768,2.6832,2.1024946,3.5093722,2.0182457,6.662493,343.04216,303.66058,409.31164,Jovian,4.9,K,10.391215,10 23 28.3724,+00 54 08.0784,14.530486,2.9714593,7.1568809,3.7637846,6.7853671,3.9827067,6.7853671,3.6334963,6.7853671,10.292096,0.72838944,0.48748251,0,0,Hot,0,0.2724776,Sextans,Sex,Sextant,13.858291,273.33208,2.08
30 Ari B b,3,4392.383,-572.09041,572.09041,,,,2009,06-09-2018,335.10001,-2.5,2.5,0.99,-0.02,0.02,0.29,-0.09,0.09,,,,,,,,,,22.1,,,,,,,,Radial Velocity,,,,,30 Ari B,39.240585,24.648064,6.962,44.71,-0.1,0.1,0.19,,,1.93,-0.27,0.27,1.41,-0.05,0.05,F6 V,,,,6331,-61,61,,,4.43,"HD 16232, HIP 12184",,,,,0.092482534,1.0316295,0.7029,1.2771,1.0007066,3.050856,1.7545523,5.7920065,331.24213,293.21521,395.23206,Jovian,1.41,F,2.6160391,02 36 57.7409,+24 38 53.0304,2.8616474,1.22761,2.8573528,1.5548965,2.709031,1.6434699,2.709031,1.5008232,2.709031,4.5674293,6.531395,0.57438563,0,0,Hot,0,0.30089651,Aries,Ari,Ram,12.26437,4392.383,0.99
